"Story","Title","Result","Date","Stability","Duration (s)"
"Best Buy Application","Product Api CRUD Test","SUCCESS","2023-01-10T13:37:03.423Z[Europe/London]","0.0","3.19"
"Best Buy Application","Store Api CRUD Test","SUCCESS","2023-01-10T13:37:07.469Z[Europe/London]","0.0","0.26"
