"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different endpoints on the best buy application","Check if the best buy applications product api can be accessed by GET request","SUCCESS","2023-01-10T13:37:07.777Z[Europe/London]","0.0","1.24"
"Testing different endpoints on the best buy application","Check if the best buy applications product api can be accessed by POST request","SUCCESS","2023-01-10T13:37:09.059Z[Europe/London]","0.0","0.02"
"Testing different endpoints on the best buy application","Check if the best buy applications product api can be accessed by PUT request","SUCCESS","2023-01-10T13:37:09.117Z[Europe/London]","0.0","0.02"
"Testing different endpoints on the best buy application","Check if the best buy applications product api can be accessed by DELETE request","SUCCESS","2023-01-10T13:37:09.182Z[Europe/London]","0.0","0.02"
"Testing different endpoints on the best buy application","Check if the best buy applications store api can be accessed by GET request","SUCCESS","2023-01-10T13:37:09.246Z[Europe/London]","0.0","0.07"
"Testing different endpoints on the best buy application","Check if the best buy applications store api can be accessed by POST request","SUCCESS","2023-01-10T13:37:09.397Z[Europe/London]","0.0","0.04"
"Testing different endpoints on the best buy application","Check if the best buy applications store api can be accessed by PUT request","SUCCESS","2023-01-10T13:37:09.518Z[Europe/London]","0.0","0.03"
"Testing different endpoints on the best buy application","Check if the best buy applications store api can be accessed by DELETE request","SUCCESS","2023-01-10T13:37:09.635Z[Europe/London]","0.0","0.04"
